"","age","job","marital","education","default","housing","loan","contact","month","day_of_week","duration","campaign","pdays","previous","poutcome","emp.var.rate","cons.price.idx","cons.conf.idx","euribor3m","nr.employed","Class"
"50",38,"blue-collar","single","basic.6y","no","no","no","cellular","nov","wed",520,1,999,0,"nonexistent","-0.1","93.2","-42","4.12","5195.8","no"
"51",40,"technician","married","professional.course","no","yes","no","cellular","nov","wed",1283,1,999,0,"nonexistent","-0.1","93.2","-42","4.12","5195.8","no"
"52",53,"admin.","divorced","university.degree","no","yes","no","cellular","aug","fri",61,2,999,0,"nonexistent","1.4","93.444","-36.1","4.964","5228.1","no"
"53",41,"admin.","married","university.degree","no","no","yes","cellular","jul","mon",396,2,999,0,"nonexistent","1.4","93.918","-42.7","4.96","5228.1","no"
"54",43,"admin.","married","university.degree","no","yes","no","telephone","jun","tue",411,6,999,0,"nonexistent","1.4","94.465","-41.8","4.961","5228.1","no"
"55",50,"admin.","married","basic.9y","no","no","no","cellular","aug","thu",84,1,999,0,"nonexistent","1.4","93.444","-36.1","4.968","5228.1","no"
"56",34,"technician","married","university.degree","no","no","no","telephone","may","tue",116,2,999,0,"nonexistent","1.1","93.994","-36.4","4.857","5191","no"
"57",27,"blue-collar","married","high.school","no","yes","no","cellular","jun","fri",264,1,999,0,"nonexistent","-2.9","92.963","-40.8","1.268","5076.2","no"
"58",26,"services","single","university.degree","no","yes","no","telephone","may","tue",139,4,999,0,"nonexistent","-1.8","92.893","-46.2","1.291","5099.1","no"
"59",34,"admin.","divorced","basic.6y","no","no","no","telephone","may","fri",111,2,999,0,"nonexistent","1.1","93.994","-36.4","4.857","5191","no"
"60",50,"admin.","divorced","university.degree","no","no","no","cellular","jul","mon",371,2,999,0,"nonexistent","1.4","93.918","-42.7","4.96","5228.1","no"
"61",54,"technician","married","high.school","no","yes","no","cellular","jul","tue",187,4,999,0,"nonexistent","1.4","93.918","-42.7","4.961","5228.1","no"
"62",41,"admin.","married","high.school","no","yes","yes","telephone","may","thu",223,2,999,0,"nonexistent","1.1","93.994","-36.4","4.855","5191","no"
"63",24,"blue-collar","single","basic.9y","no","yes","yes","cellular","jul","mon",449,1,999,0,"nonexistent","1.4","93.918","-42.7","4.96","5228.1","no"
"64",49,"admin.","divorced","university.degree","no","yes","no","cellular","jun","tue",144,1,999,0,"nonexistent","-2.9","92.963","-40.8","1.262","5076.2","no"
"65",36,"admin.","married","high.school","no","yes","no","telephone","may","thu",103,3,999,0,"nonexistent","1.1","93.994","-36.4","4.855","5191","no"
"66",55,"blue-collar","married","basic.9y","no","yes","no","telephone","may","wed",55,1,999,0,"nonexistent","1.1","93.994","-36.4","4.856","5191","no"
"67",57,"management","divorced","university.degree","no","yes","no","telephone","may","mon",117,2,999,0,"nonexistent","1.1","93.994","-36.4","4.857","5191","no"
"68",29,"unemployed","married","university.degree","no","yes","no","cellular","jul","thu",738,3,999,0,"nonexistent","1.4","93.918","-42.7","4.958","5228.1","no"
"69",32,"self-employed","single","university.degree","no","yes","no","cellular","apr","thu",441,2,999,0,"nonexistent","-1.8","93.075","-47.1","1.365","5099.1","no"
"70",37,"blue-collar","married","basic.6y","no","no","no","cellular","may","fri",78,1,999,1,"failure","-1.8","92.893","-46.2","1.313","5099.1","no"
"71",51,"retired","married","professional.course","no","no","no","telephone","may","mon",118,3,999,0,"nonexistent","1.1","93.994","-36.4","4.857","5191","no"
"72",21,"admin.","single","high.school","no","no","no","cellular","apr","thu",264,1,999,0,"nonexistent","-1.8","93.075","-47.1","1.365","5099.1","no"
"73",56,"retired","married","basic.4y","no","no","no","telephone","may","wed",88,2,999,0,"nonexistent","1.1","93.994","-36.4","4.857","5191","no"
"74",34,"blue-collar","married","basic.9y","no","no","no","cellular","may","tue",169,1,999,0,"nonexistent","-1.8","92.893","-46.2","1.344","5099.1","no"
"75",31,"technician","single","professional.course","no","no","no","telephone","jun","tue",662,5,999,0,"nonexistent","1.4","94.465","-41.8","4.864","5228.1","no"
"76",44,"admin.","divorced","high.school","no","no","no","telephone","jun","tue",132,4,999,0,"nonexistent","1.4","94.465","-41.8","4.961","5228.1","no"
"77",29,"admin.","single","university.degree","no","no","no","cellular","aug","thu",117,2,999,0,"nonexistent","1.4","93.444","-36.1","4.963","5228.1","no"
"78",35,"technician","married","university.degree","no","yes","no","telephone","may","thu",330,3,999,0,"nonexistent","1.1","93.994","-36.4","4.855","5191","no"
"79",39,"admin.","married","professional.course","no","no","no","cellular","aug","fri",306,3,999,0,"nonexistent","1.4","93.444","-36.1","4.964","5228.1","no"
"80",37,"management","married","university.degree","no","no","no","cellular","nov","tue",658,3,999,1,"failure","-0.1","93.2","-42","4.153","5195.8","no"
"81",40,"blue-collar","married","basic.6y","no","yes","no","telephone","jun","mon",104,4,999,0,"nonexistent","1.4","94.465","-41.8","4.96","5228.1","no"
"82",74,"retired","divorced","basic.4y","no","no","no","telephone","jun","thu",369,1,999,1,"failure","-1.7","94.055","-39.8","0.742","4991.6","no"
"83",29,"services","single","high.school","no","no","no","cellular","apr","fri",473,2,999,1,"failure","-1.8","93.075","-47.1","1.405","5099.1","no"
"84",52,"management","married","university.degree","no","yes","yes","cellular","jul","mon",161,1,999,0,"nonexistent","1.4","93.918","-42.7","4.96","5228.1","no"
"85",27,"admin.","married","high.school","no","yes","no","cellular","jul","mon",238,2,999,0,"nonexistent","1.4","93.918","-42.7","4.96","5228.1","no"
"86",43,"admin.","married","high.school","no","yes","no","telephone","may","tue",135,3,999,0,"nonexistent","1.1","93.994","-36.4","4.856","5191","no"
"87",47,"technician","married","basic.6y","no","no","no","cellular","sep","mon",164,2,6,3,"success","-1.1","94.199","-37.5","0.882","4963.6","no"
"88",34,"services","divorced","high.school","no","yes","no","cellular","jul","tue",317,3,999,0,"nonexistent","1.4","93.918","-42.7","4.961","5228.1","no"
"89",37,"admin.","married","high.school","no","no","no","cellular","may","mon",14,3,999,0,"nonexistent","-1.8","92.893","-46.2","1.244","5099.1","no"
"90",46,"admin.","married","high.school","no","yes","no","cellular","nov","tue",154,2,999,0,"nonexistent","-0.1","93.2","-42","4.153","5195.8","no"
"91",51,"admin.","married","university.degree","no","no","no","cellular","aug","thu",335,1,999,0,"nonexistent","1.4","93.444","-36.1","4.963","5228.1","no"
"92",39,"housemaid","married","university.degree","no","yes","no","telephone","jun","fri",258,2,999,0,"nonexistent","1.4","94.465","-41.8","4.959","5228.1","no"
"93",36,"technician","single","professional.course","no","yes","no","cellular","aug","mon",62,1,999,1,"failure","-2.9","92.201","-31.4","0.821","5076.2","no"
"94",32,"services","married","high.school","no","yes","no","cellular","nov","wed",74,1,5,1,"success","-0.1","93.2","-42","4.12","5195.8","no"
"95",42,"technician","married","professional.course","no","yes","no","cellular","aug","wed",246,1,999,0,"nonexistent","-2.9","92.201","-31.4","0.879","5076.2","no"
"96",49,"admin.","single","basic.6y","no","yes","yes","cellular","apr","fri",441,2,999,0,"nonexistent","-1.8","93.075","-47.1","1.405","5099.1","no"
"97",43,"management","married","high.school","no","yes","yes","telephone","jun","fri",304,2,999,0,"nonexistent","1.4","94.465","-41.8","4.967","5228.1","no"
"98",35,"blue-collar","married","basic.6y","no","yes","yes","telephone","may","wed",305,3,999,0,"nonexistent","1.1","93.994","-36.4","4.856","5191","no"
"99",40,"technician","single","university.degree","no","no","no","telephone","may","thu",430,2,999,1,"failure","-1.8","92.893","-46.2","1.327","5099.1","no"
"100",33,"admin.","single","university.degree","no","yes","no","telephone","may","tue",319,5,999,0,"nonexistent","1.1","93.994","-36.4","4.857","5191","no"
"101",27,"blue-collar","married","university.degree","no","no","yes","telephone","may","fri",357,1,999,0,"nonexistent","1.1","93.994","-36.4","4.855","5191","no"
"102",30,"admin.","single","high.school","no","yes","no","telephone","jun","mon",174,1,999,0,"nonexistent","1.4","94.465","-41.8","4.961","5228.1","no"
"103",30,"admin.","married","university.degree","no","no","yes","cellular","aug","tue",129,4,999,0,"nonexistent","1.4","93.444","-36.1","4.968","5228.1","no"
"104",31,"admin.","single","university.degree","no","no","no","cellular","aug","wed",68,4,999,0,"nonexistent","1.4","93.444","-36.1","4.964","5228.1","no"
"105",31,"services","divorced","high.school","no","no","no","cellular","apr","mon",150,2,999,0,"nonexistent","-1.8","93.075","-47.1","1.405","5099.1","no"
"106",29,"technician","single","high.school","no","no","no","cellular","aug","thu",225,4,999,0,"nonexistent","1.4","93.444","-36.1","4.968","5228.1","no"
"107",37,"entrepreneur","married","university.degree","no","yes","no","cellular","nov","fri",12,5,999,1,"failure","-0.1","93.2","-42","4.021","5195.8","no"
"108",45,"self-employed","married","university.degree","no","no","no","cellular","nov","fri",18,5,999,0,"nonexistent","-0.1","93.2","-42","4.021","5195.8","no"
"109",44,"technician","single","university.degree","no","yes","no","telephone","may","fri",24,1,999,0,"nonexistent","1.1","93.994","-36.4","4.859","5191","no"
"110",34,"technician","married","professional.course","no","no","no","cellular","jul","wed",187,1,999,0,"nonexistent","1.4","93.918","-42.7","4.963","5228.1","no"
"111",54,"technician","divorced","university.degree","no","yes","no","cellular","may","wed",132,1,999,1,"failure","-1.8","92.893","-46.2","1.334","5099.1","no"
"112",52,"admin.","married","high.school","no","no","no","cellular","jul","fri",324,1,999,0,"nonexistent","1.4","93.918","-42.7","4.962","5228.1","no"
"113",56,"self-employed","married","university.degree","no","no","no","cellular","jun","thu",754,3,999,0,"nonexistent","-2.9","92.963","-40.8","1.235","5076.2","no"
"114",49,"retired","divorced","professional.course","no","yes","yes","telephone","aug","tue",128,8,999,0,"nonexistent","1.4","93.444","-36.1","4.966","5228.1","no"
"115",51,"entrepreneur","married","basic.9y","no","no","no","cellular","aug","wed",135,1,999,0,"nonexistent","1.4","93.444","-36.1","4.967","5228.1","no"
"116",37,"technician","single","high.school","no","no","no","telephone","jun","mon",394,3,999,0,"nonexistent","1.4","94.465","-41.8","4.96","5228.1","no"
"117",29,"admin.","single","university.degree","no","yes","no","cellular","may","tue",159,8,999,0,"nonexistent","-1.8","92.893","-46.2","1.344","5099.1","no"
"118",35,"admin.","married","university.degree","no","yes","no","telephone","may","tue",343,1,999,0,"nonexistent","1.1","93.994","-36.4","4.856","5191","no"
"119",39,"technician","married","high.school","no","no","no","cellular","aug","mon",225,2,999,0,"nonexistent","1.4","93.444","-36.1","4.965","5228.1","no"
"120",31,"technician","single","professional.course","no","yes","no","cellular","aug","thu",126,10,999,0,"nonexistent","1.4","93.444","-36.1","4.963","5228.1","no"
"121",28,"services","single","university.degree","no","no","no","cellular","jul","thu",363,2,999,0,"nonexistent","1.4","93.918","-42.7","4.963","5228.1","no"
"122",26,"admin.","single","high.school","no","no","no","cellular","jul","fri",140,3,999,0,"nonexistent","1.4","93.918","-42.7","4.957","5228.1","no"
"123",54,"management","married","university.degree","no","yes","no","cellular","jun","wed",42,1,999,0,"nonexistent","-2.9","92.963","-40.8","1.26","5076.2","no"
"124",34,"technician","married","university.degree","no","yes","no","cellular","may","fri",47,2,999,1,"failure","-1.8","92.893","-46.2","1.313","5099.1","no"
"125",46,"self-employed","married","university.degree","no","yes","no","telephone","may","tue",151,5,999,0,"nonexistent","1.1","93.994","-36.4","4.857","5191","no"
"126",22,"admin.","married","high.school","no","no","yes","cellular","apr","fri",108,2,999,1,"failure","-1.8","93.075","-47.1","1.405","5099.1","no"
"127",32,"admin.","married","university.degree","no","no","no","cellular","may","thu",366,2,999,0,"nonexistent","-1.8","92.893","-46.2","1.266","5099.1","no"
"128",31,"admin.","married","university.degree","no","no","yes","cellular","aug","tue",824,1,999,0,"nonexistent","1.4","93.444","-36.1","4.963","5228.1","no"
"129",55,"admin.","divorced","university.degree","no","yes","no","cellular","apr","wed",628,1,999,1,"failure","-1.8","93.075","-47.1","1.445","5099.1","no"
"130",51,"blue-collar","married","basic.4y","no","no","no","cellular","aug","tue",132,2,999,0,"nonexistent","1.4","93.444","-36.1","4.968","5228.1","no"
"131",21,"student","single","high.school","no","no","no","cellular","may","wed",513,3,999,1,"failure","-1.8","92.893","-46.2","1.281","5099.1","no"
"132",32,"admin.","married","high.school","no","yes","no","telephone","jun","wed",156,1,999,0,"nonexistent","1.4","94.465","-41.8","4.962","5228.1","no"
"133",35,"technician","married","professional.course","no","yes","no","cellular","nov","mon",115,2,999,0,"nonexistent","-0.1","93.2","-42","4.191","5195.8","no"
"134",35,"technician","divorced","professional.course","no","yes","no","telephone","jun","thu",312,2,999,0,"nonexistent","1.4","94.465","-41.8","4.958","5228.1","no"
"135",40,"services","divorced","high.school","no","no","yes","cellular","may","thu",632,1,999,1,"failure","-1.8","92.893","-46.2","1.266","5099.1","no"
"136",36,"admin.","married","university.degree","no","no","no","cellular","may","wed",37,2,999,0,"nonexistent","-1.8","92.893","-46.2","1.334","5099.1","no"
"137",25,"admin.","single","university.degree","no","no","yes","cellular","aug","thu",112,1,999,0,"nonexistent","-2.9","92.201","-31.4","0.873","5076.2","no"
"138",51,"management","married","basic.9y","no","no","no","cellular","jul","wed",71,3,999,0,"nonexistent","1.4","93.918","-42.7","4.963","5228.1","no"
"139",51,"blue-collar","divorced","high.school","no","yes","yes","cellular","may","tue",10,6,999,0,"nonexistent","-1.8","92.893","-46.2","1.291","5099.1","no"
"140",36,"technician","married","professional.course","no","yes","no","cellular","may","thu",109,1,999,1,"failure","-1.8","93.876","-40","0.677","5008.7","no"
"141",39,"management","married","high.school","no","no","no","cellular","aug","thu",402,2,999,0,"nonexistent","1.4","93.444","-36.1","4.968","5228.1","no"
"142",35,"blue-collar","married","basic.6y","no","no","no","cellular","nov","tue",86,2,999,1,"failure","-0.1","93.2","-42","4.153","5195.8","no"
"143",40,"admin.","single","high.school","no","no","no","cellular","may","tue",17,6,999,0,"nonexistent","-1.8","92.893","-46.2","1.344","5099.1","no"
"144",30,"admin.","married","university.degree","no","yes","no","cellular","aug","tue",120,3,999,1,"failure","-2.9","92.201","-31.4","0.883","5076.2","no"
"145",34,"admin.","married","university.degree","no","no","no","cellular","nov","tue",140,2,999,1,"failure","-0.1","93.2","-42","4.153","5195.8","no"
"146",32,"management","married","university.degree","no","no","no","cellular","aug","mon",119,4,999,0,"nonexistent","1.4","93.444","-36.1","4.963","5228.1","no"
"147",40,"services","divorced","high.school","no","yes","no","telephone","apr","fri",501,3,999,0,"nonexistent","-1.8","93.075","-47.1","1.405","5099.1","no"
"148",37,"management","single","basic.9y","no","yes","no","cellular","may","mon",189,1,999,0,"nonexistent","-1.8","92.893","-46.2","1.299","5099.1","no"
"149",56,"services","divorced","high.school","no","no","no","cellular","jul","mon",167,6,999,0,"nonexistent","1.4","93.918","-42.7","4.962","5228.1","no"
"150",48,"admin.","married","university.degree","no","no","no","cellular","aug","tue",80,1,999,0,"nonexistent","1.4","93.444","-36.1","4.966","5228.1","no"
"151",55,"management","married","professional.course","no","yes","no","cellular","nov","wed",223,2,999,0,"nonexistent","-0.1","93.2","-42","4.12","5195.8","no"
"152",36,"blue-collar","married","basic.9y","no","yes","yes","telephone","may","tue",36,7,999,0,"nonexistent","-1.8","92.893","-46.2","1.344","5099.1","no"
"153",34,"management","married","university.degree","no","no","no","cellular","may","thu",11,8,999,0,"nonexistent","-1.8","92.893","-46.2","1.266","5099.1","no"
"154",32,"blue-collar","married","basic.4y","no","no","no","telephone","jul","fri",110,1,999,0,"nonexistent","1.4","93.918","-42.7","4.962","5228.1","no"
"155",31,"blue-collar","married","basic.6y","no","no","no","cellular","jul","wed",421,1,999,0,"nonexistent","1.4","93.918","-42.7","4.963","5228.1","no"
"156",33,"admin.","single","high.school","no","yes","no","cellular","nov","wed",222,1,999,0,"nonexistent","-0.1","93.2","-42","4.12","5195.8","no"
"157",43,"management","single","university.degree","no","no","no","cellular","oct","tue",408,1,999,1,"failure","-3.4","92.431","-26.9","0.744","5017.5","no"
"158",30,"self-employed","married","university.degree","no","no","no","cellular","may","mon",107,4,999,0,"nonexistent","-1.8","92.893","-46.2","1.354","5099.1","no"
"159",30,"services","single","high.school","no","no","no","cellular","may","tue",263,2,999,0,"nonexistent","-1.8","92.893","-46.2","1.344","5099.1","no"
"160",32,"admin.","married","high.school","no","yes","no","telephone","may","wed",395,2,999,0,"nonexistent","1.1","93.994","-36.4","4.856","5191","no"
"161",33,"self-employed","single","university.degree","no","yes","yes","cellular","nov","fri",203,1,999,0,"nonexistent","-0.1","93.2","-42","4.021","5195.8","no"
"162",30,"blue-collar","married","basic.4y","no","no","no","cellular","apr","mon",19,5,999,0,"nonexistent","-1.8","93.075","-47.1","1.405","5099.1","no"
"163",35,"admin.","married","high.school","no","no","no","cellular","nov","tue",95,1,999,0,"nonexistent","-0.1","93.2","-42","4.153","5195.8","no"
"164",29,"self-employed","single","university.degree","no","no","no","telephone","jun","mon",221,10,999,0,"nonexistent","1.4","94.465","-41.8","4.961","5228.1","no"
"165",43,"admin.","married","high.school","no","yes","no","cellular","dec","tue",72,4,6,1,"success","-3","92.713","-33","0.715","5023.5","no"
"166",24,"services","single","professional.course","no","yes","no","cellular","jul","wed",80,1,999,0,"nonexistent","1.4","93.918","-42.7","4.962","5228.1","no"
"167",55,"admin.","divorced","university.degree","no","yes","no","telephone","may","thu",230,4,999,0,"nonexistent","1.1","93.994","-36.4","4.855","5191","no"
"168",43,"blue-collar","married","high.school","no","yes","yes","cellular","jul","fri",132,5,999,0,"nonexistent","1.4","93.918","-42.7","4.962","5228.1","no"
"169",41,"blue-collar","single","basic.9y","no","no","no","cellular","nov","thu",120,4,999,1,"failure","-0.1","93.2","-42","4.076","5195.8","no"
"170",39,"entrepreneur","married","university.degree","no","yes","no","telephone","jun","wed",63,1,999,0,"nonexistent","1.4","94.465","-41.8","4.959","5228.1","no"
"171",37,"unemployed","married","professional.course","no","no","no","telephone","may","thu",368,2,999,0,"nonexistent","1.1","93.994","-36.4","4.86","5191","no"
"172",39,"housemaid","married","university.degree","no","yes","no","telephone","may","tue",260,1,999,0,"nonexistent","1.1","93.994","-36.4","4.857","5191","no"
"173",37,"admin.","single","high.school","no","yes","no","cellular","jul","mon",87,1,999,0,"nonexistent","1.4","93.918","-42.7","4.96","5228.1","no"
"174",36,"services","married","high.school","no","no","no","cellular","apr","fri",291,4,999,1,"failure","-1.8","93.075","-47.1","1.405","5099.1","no"
"175",31,"housemaid","single","university.degree","no","yes","no","cellular","aug","tue",348,1,999,0,"nonexistent","1.4","93.444","-36.1","4.966","5228.1","no"
"176",82,"retired","married","university.degree","no","no","no","cellular","aug","fri",79,2,999,2,"failure","-2.9","92.201","-31.4","0.881","5076.2","no"
"177",38,"technician","married","professional.course","no","no","no","cellular","nov","wed",62,3,999,1,"failure","-0.1","93.2","-42","4.12","5195.8","no"
"178",71,"retired","married","professional.course","no","yes","no","cellular","oct","mon",185,2,999,0,"nonexistent","-1.1","94.601","-49.5","0.977","4963.6","no"
"179",32,"technician","divorced","professional.course","no","yes","no","telephone","may","fri",76,17,999,0,"nonexistent","1.1","93.994","-36.4","4.859","5191","no"
"180",38,"blue-collar","single","university.degree","no","no","no","cellular","jul","wed",176,1,999,0,"nonexistent","1.4","93.918","-42.7","4.962","5228.1","no"
"181",43,"admin.","married","high.school","no","no","no","cellular","jul","tue",327,5,999,0,"nonexistent","1.4","93.918","-42.7","4.961","5228.1","no"
"182",43,"management","married","university.degree","no","no","no","telephone","jun","fri",13,5,999,0,"nonexistent","1.4","94.465","-41.8","4.959","5228.1","no"
"183",46,"blue-collar","married","basic.6y","no","no","no","telephone","jun","fri",98,1,999,0,"nonexistent","1.4","94.465","-41.8","4.959","5228.1","no"
"184",36,"technician","married","professional.course","no","no","no","telephone","jun","wed",183,9,999,0,"nonexistent","1.4","94.465","-41.8","4.959","5228.1","no"
"185",37,"technician","married","high.school","no","yes","no","telephone","may","fri",136,1,999,0,"nonexistent","1.1","93.994","-36.4","4.859","5191","no"
"186",36,"technician","divorced","professional.course","no","yes","no","cellular","may","mon",341,7,999,0,"nonexistent","-1.8","93.876","-40","0.697","5008.7","no"
"187",33,"admin.","single","university.degree","no","no","no","cellular","aug","wed",154,1,999,0,"nonexistent","1.4","93.444","-36.1","4.964","5228.1","no"
"188",43,"technician","single","professional.course","no","no","no","telephone","jun","tue",315,2,999,0,"nonexistent","1.4","94.465","-41.8","4.961","5228.1","no"
"189",35,"admin.","married","professional.course","no","yes","no","cellular","may","mon",115,3,999,0,"nonexistent","-1.8","92.893","-46.2","1.354","5099.1","no"
